% LogFile created by the 'GetSensorData' App for Android.
% Date of creation: Wed May 25 12:42:42 GMT+02:00 2022
% Developed by LOPSI research group at CAR-CSIC, Spain (http://www.car.upm-csic.es/lopsi)
% Version 2.21 July 2021
% The 'GetSensorData' program stores information from Smartphone/Tablet internal sensors (Accelerometers, Gyroscopes, Magnetometers, Pressure, Ambient Light, Orientation, Sound level, GPS/GNSS positio, WiFi RSS, Cellular/GSM/3G signal strength,...) and also from external devices (e.g. RFCode RFID reader, XSens IMU, LPMS-B IMU or MIMU22BT)
%
% Phone used for this logfile:
% Manufacturer:            	bq
% Model:                   	Aquaris X5 Plus
% API Android version:     	25
% Android version Release: 	7.1.1
%
% LogFile Data format:
% Accelerometer data: 	'ACCE;AppTimestamp(s);SensorTimestamp(s);Acc_X(m/s^2);Acc_Y(m/s^2);Acc_Z(m/s^2);Accuracy(integer)'
% Gyroscope data:     	'GYRO;AppTimestamp(s);SensorTimestamp(s);Gyr_X(rad/s);Gyr_Y(rad/s);Gyr_Z(rad/s);Accuracy(integer)'
% Magnetometer data:  	'MAGN;AppTimestamp(s);SensorTimestamp(s);Mag_X(uT);;Mag_Y(uT);Mag_Z(uT);Accuracy(integer)'
% Pressure data:      	'PRES;AppTimestamp(s);SensorTimestamp(s);Pres(mbar);Accuracy(integer)'
% Light data:         	'LIGH;AppTimestamp(s);SensorTimestamp(s);Light(lux);Accuracy(integer)'
% Proximity data:     	'PROX;AppTimestamp(s);SensorTimestamp(s);prox(?);Accuracy(integer)'
% Humidity data:      	'HUMI;AppTimestamp(s);SensorTimestamp(s);humi(Percentage);Accuracy(integer)'
% Temperature data:   	'TEMP;AppTimestamp(s);SensorTimestamp(s);temp(Celsius);Accuracy(integer)'
% Orientation data:   	'AHRS;AppTimestamp(s);SensorTimestamp(s);PitchX(deg);RollY(deg);YawZ(deg);Quat(2);Quat(3);Quat(4);Accuracy(int)'
% GNSS/GPS data:      	'GNSS;AppTimestamp(s);SensorTimeStamp(s);Latit(deg);Long(deg);Altitude(m);Bearing(deg);Accuracy(m);Speed(m/s);SatInView;SatInUse'
% WIFI data:          	'WIFI;AppTimestamp(s);SensorTimeStamp(s);Name_SSID;MAC_BSSID;Frequency;RSS(dBm);'
% Bluetooth data:     	'BLUE;AppTimestamp(s);Name;MAC_Address;RSS(dBm);'
% BLE 4.0 data:       	'BLE4;AppTimestamp(s);iBeacon;MAC;RSSI(dBm);Power;MajorID;MinorID;UUID'
% BLE 4.0 data:       	'BLE4;AppTimestamp(s);Eddystone;MAC;RSSI(dBm);instanceID;OptionalTelemetry[voltaje;temperature;uptime;count]
% Sound data:         	'SOUN;AppTimestamp(s);RMS;Pressure(Pa);SPL(dB);'
% RFID Reader data:   	'RFID;AppTimestamp(s);ReaderNumber(int);TagID(int);RSS_A(dBm);RSS_B(dBm);'
% IMU XSens data:     	'IMUX;AppTimestamp(s);SensorTimestamp(s);Counter;Acc_X(m/s^2);Acc_Y(m/s^2);Acc_Z(m/s^2);Gyr_X(rad/s);Gyr_Y(rad/s);Gyr_Z(rad/s);Mag_X(uT);;Mag_Y(uT);Mag_Z(uT);Roll(deg);Pitch(deg);Yaw(deg);Quat(1);Quat(2);Quat(3);Quat(4);Pressure(mbar);Temp(Celsius)'
% IMU LPMS-B data:    	'IMUL;AppTimestamp(s);SensorTimestamp(s);Counter;Acc_X(m/s^2);Acc_Y(m/s^2);Acc_Z(m/s^2);Gyr_X(rad/s);Gyr_Y(rad/s);Gyr_Z(rad/s);Mag_X(uT);;Mag_Y(uT);Mag_Z(uT);Roll(deg);Pitch(deg);Yaw(deg);Quat(1);Quat(2);Quat(3);Quat(4);Pressure(mbar);Temp(Celsius)'
% IMU MIMU22BT data:  	'IMUI;AppTimestamp(s);Packet_count;Step_Counter;delta_X(m);delta_Y(m);delta_Z(m);delta_theta(degrees);Covariance4x4[1:10]'
% POSI Reference:    		'POSI;Timestamp(s);Counter;Latitude(degrees); Longitude(degrees);floor ID(0,1,2..4);Building ID(0,1,2..3);'
% 
% Note that there are two timestamps: 
%  -'AppTimestamp' is set by the Android App as data is read. It is not representative of when data is actually captured by the sensor (but has a common time reference for all sensors)
%  -'SensorTimestamp' is set by the sensor itself (the delta_time=SensorTimestamp(k)-SensorTimestamp(k-1) between two consecutive samples is an accurate estimate of the sampling interval). This timestamp is better for integrating inertial data. 

ACCE;0.0249;3125.1767;-1.26892;6.03049;9.93712;3
GYRO;0.0255;3125.1873;0.17365;-0.38136;0.17577;0
ACCE;0.0260;3125.1868;-0.16998;6.21245;9.13266;3
GYRO;0.0266;3125.1973;0.22478;-0.65088;0.28656;0
ACCE;0.0271;3125.1968;1.07022;5.73122;8.00739;3
GYRO;0.0276;3125.2073;0.13422;-0.68071;0.24287;0
BLE4;0.0371;iBeacon;20:22:B0:00:51:42;-93;0;33759;57359;00000000-0000-BEAC-2022-000000005938
ACCE;0.0381;3125.2068;1.63525;5.23082;7.44235;3
GYRO;0.0386;3125.2174;-0.03835;-0.41438;0.05113;0
ACCE;0.0439;3125.2168;1.07022;5.24280;7.43758;3
GYRO;0.0444;3125.2274;-0.23755;-0.02983;-0.18002;0
ACCE;0.0504;3125.2269;0.44293;5.34814;7.72726;3
GYRO;0.0510;3125.2374;-0.42078;0.27164;-0.31212;0
ACCE;0.0745;3125.2369;-0.23701;5.53249;8.38089;3
GYRO;0.0750;3125.2474;-0.51132;0.44847;-0.37711;0
ACCE;0.0754;3125.2469;-0.86429;5.65938;8.83099;3
GYRO;0.0758;3125.2575;-0.49535;0.43143;-0.37711;0
ACCE;0.0811;3125.2570;-1.22342;5.61629;8.66101;3
GYRO;0.0816;3125.2675;-0.42931;0.24075;-0.30786;0
ACCE;0.1261;3125.2670;-1.31201;5.63544;8.16541;3
GYRO;0.1267;3125.2775;-0.38882;0.01065;-0.23329;0
ACCE;0.1271;3125.2770;-0.96724;5.58276;7.82542;3
GYRO;0.1275;3125.2875;-0.41438;-0.18002;-0.18002;0
ACCE;0.1281;3125.2870;-0.09337;5.20688;7.82782;3
GYRO;0.1286;3125.2976;-0.50281;-0.34621;-0.16725;0
ACCE;0.1291;3125.2971;0.84517;4.66818;7.84219;3
GYRO;0.1296;3125.3076;-0.60614;-0.50174;-0.21306;0
ACCE;0.1313;3125.3071;1.49638;4.93394;7.62431;3
GYRO;0.1319;3125.3176;-0.73824;-0.59122;-0.32277;0
ACCE;0.1412;3125.3171;1.63765;5.57799;7.83261;3
GYRO;0.1417;3125.3277;-0.87245;-0.47617;-0.55394;0
BLE4;0.1504;iBeacon;20:22:B0:00:31:81;-55;0;0;0;00000000-0000-BEAC-2022-000000003878
ACCE;0.1510;3125.3272;1.30965;5.69290;8.66580;3
GYRO;0.1514;3125.3377;-0.94382;-0.23010;-0.80960;0
ACCE;0.1609;3125.3372;0.80925;5.61629;9.62827;3
GYRO;0.1614;3125.3477;-0.94489;-0.02023;-1.00134;0
ACCE;0.1712;3125.3472;0.18437;5.69769;10.47821;3
GYRO;0.1719;3125.3577;-0.83836;0.18962;-1.17285;0
ACCE;0.1812;3125.3572;-0.42137;4.83817;10.95226;3
GYRO;0.1819;3125.3678;-0.60187;0.37497;-1.26128;0
ACCE;0.1908;3125.3673;-0.62727;2.67381;10.15977;3
GYRO;0.1914;3125.3778;-0.26845;0.34409;-1.12704;0
ACCE;0.2011;3125.3773;-1.04865;1.47672;8.57961;3
GYRO;0.2019;3125.3878;0.01385;0.07031;-0.77658;0
ACCE;0.2111;3125.3873;-1.79324;2.46552;7.37053;3
GYRO;0.2119;3125.3979;0.08629;-0.28549;-0.33344;0
ACCE;0.2207;3125.3974;-2.19307;4.55327;6.70494;3
GYRO;0.2215;3125.4079;-0.07457;-0.55927;0.09268;0
ACCE;0.2319;3125.4074;-1.55382;5.62827;6.40807;3
GYRO;0.2325;3125.4179;-0.37285;-0.59229;0.38136;0
ACCE;0.2412;3125.4174;-0.14842;5.20448;6.70255;3
GYRO;0.2418;3125.4279;-0.69029;-0.36113;0.43143;0
ACCE;0.2511;3125.4274;1.14444;4.34018;7.86613;3
GYRO;0.2522;3125.4380;-0.95341;-0.07243;0.27164;0
ACCE;0.2612;3125.4374;1.65919;3.79669;9.24519;3
GYRO;0.2618;3125.4480;-1.08870;0.07990;0.04900;0
ACCE;0.2713;3125.4475;1.54906;3.50221;10.87564;3
GYRO;0.2719;3125.4580;-1.04503;0.05220;-0.12144;0
ACCE;0.2818;3125.4575;1.28809;3.11914;11.87163;3
GYRO;0.2823;3125.4681;-0.77977;-0.12996;-0.16725;0
BLE4;0.2879;iBeacon;20:22:B0:00:31:35;-95;0;17514;45196;00000000-0000-BEAC-2022-000000003841
